idPlanEstudio, Carrera, Facultad, Letra, Cant Periodo 2010, Cant Periodo 2011, 
38,Contador Público,Facultad de Ciencias Económicas,K,15,16,
31,Abogacía,Facultad de Ciencias Juridicas y Sociales,A,12,16,
18,Arquitectura,Facultad de Arquitectura y Urbanismo,B,12,6,
15,Ingenieria Agronómica,Facultad de Ciencias Agrarias,A,6,3,
16,Licenciatura en Nutricion,Facultad de Ciencias de la Salud,B,5,11,
2,Profesorado Universitario de Educación Física,Facultad de Ciencias de la Comunicación y de la Educación,B,4,11,
96,Lic. En Comercio Internacional,Facultad de Ciencias Económicas,C,3,1,
19,Diseño de Interiores,Facultad de Arquitectura y Urbanismo,A,3,2,
102,Abogacía,Facultad Ciencias Jurídicas,GA,2,3,
101,Licenciatura en Marketing,Facultad de Ciencias Económicas,M,2,0,
82,Abogacía,Facultad de Ciencias Juridicas y Sociales,V,1,0,
95,Gestión Adm. Informatizada,Facultad de Ciencias Económicas,B,0,1,
17,Licenciatura en Bromatologia,Facultad de Ciencias de la Salud,A,0,0,
50,Técnico Universitario en Administración de Pequeña y Mediana Empresa,Facultad de Ciencias Económicas,P,0,2,
46,Maestría en Administración y Dirección de Empresas y Negocios,Facultad de Ciencias Económicas,N,0,0,
44,Licenciatura en Economía,Facultad de Ciencias Económicas,E,0,1,
13,Licenciatura en Periodismo,Facultad de Ciencias de la Comunicación y de la Educación,A,0,0,
43,Licenciatura en Administración de Empresas,Facultad de Ciencias Económicas,L,0,0,
100,Lic. En Comercio Internacional,Facultad de Ciencias Económicas,L,0,0,
7,Profesorado de Enseñanza Superior,Facultad de Ciencias de la Comunicación y de la Educación,A,0,1,
40,Especialización en Sindicatura Concursal,Facultad de Ciencias Económicas,S,0,0,
99,Lic. En Comercio Internacional,Facultad de Ciencias Económicas,I,0,0,
5,Locución Nacional de Radio y Televisión,Facultad de Ciencias de la Comunicación y de la Educación,A,0,1,
98,Carrera Docente,Facultad de Ciencias Económicas,G,0,0,
